Artikelen                                ,FIELD2  ,FIELD3                     ,FIELD4,FIELD5    ,FIELD6      ,FIELD7      ,FIELD8  ,FIELD9    ,FIELD10           ,FIELD11       ,FIELD12      ,FIELD13
Tijdstip geëxporteerd: 11-9-2018 10:57:49,        ,                           ,      ,          ,            ,            ,        ,          ,                  ,              ,             ,
A.Omschrijving                           ,A.Nummer,Tekst                      ,Aantal,Prijs     ,Bedrag incl.,Bedrag excl.,BTW-code,BTW-tarief,Kortingspercentage,Kortingsbedrag,Omzetgroepnr.,Omzetgroep
Coca cola                                ,1       ,Coca cola                  ,283   ,"2,50"    ,"707,50"    ,"667,87"    ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Coca cola light                          ,2       ,Coca cola light            ,103   ,"2,50"    ,"257,50"    ,"243,08"    ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Spa rood                                 ,3       ,Spa rood                   ,161   ,"2,50"    ,"402,50"    ,"379,94"    ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Spa blauw                                ,4       ,Spa blauw                  ,40    ,"2,50"    ,"100,00"    ,"94,40"     ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
7up                                      ,5       ,7up                        ,25    ,"2,50"    ,"62,50"     ,"59,00"     ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Ice tea                                  ,6       ,Ice tea                    ,102   ,"2,50"    ,"255,00"    ,"240,72"    ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Ice tea green                            ,7       ,Ice tea green              ,78    ,"2,50"    ,"195,00"    ,"184,08"    ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Tonic                                    ,8       ,Tonic                      ,60    ,"2,50"    ,"150,00"    ,"141,60"    ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Ginger ale                               ,9       ,Ginger ale                 ,5     ,"2,50"    ,"12,50"     ,"11,80"     ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Bitter lemon                             ,10      ,Bitter lemon               ,49    ,"2,50"    ,"122,50"    ,"115,64"    ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Appelsap                                 ,11      ,Appelsap                   ,69    ,"2,50"    ,"172,50"    ,"162,84"    ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Sinas                                    ,12      ,Sinas                      ,55    ,"2,50"    ,"137,50"    ,"129,80"    ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Cassis                                   ,13      ,Cassis                     ,36    ,"2,50"    ,"90,00"     ,"84,96"     ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Rivella                                  ,14      ,Rivella                    ,13    ,"2,50"    ,"32,50"     ,"30,68"     ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Chocomel                                 ,15      ,Chocomel                   ,10    ,"2,50"    ,"25,00"     ,"23,60"     ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Fristi                                   ,16      ,Fristi                     ,8     ,"2,50"    ,"20,00"     ,"18,88"     ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
Tonic fever tree                         ,17      ,Tonic fever tree           ,2     ,"3,50"    ,"7,00"      ,"6,60"      ,1       ,6%        ,"0,00"            ,"0,00"        ,1            ,Frisdrank Meierij
